report;sys_time;sim_state;service_state;nr_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;nr_neighbors;cdma_neighbors;rssi_strongest;nstrong;tech;mcc;mnc;mnc_master;lac_tac_sid;long_cid;node_id_nid;cid_bid;psc_pci;nrtac;nrnci;nrpci;nrarfcn;rssi;rsrq;rssi_ev;ecio_ev;rssnr;nrssrsrp;nrssrsrq;nrsssinr;nrcsirsrp;nrcsirsrq;nrcsisinr;slev;ta;gps;accuracy;lat;long;altitude;speed;bearing;band;arfcn;bw;bwlist;thp_rx;thp_tx
0;20240202135601;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;7;0;0;-104;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-95;-11;2147483647;2147483647;-2;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.84970448;18.51998088;266.8;19.5;78.9;800;6400;10000;10000;0;0
1;20240202135601;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;7;0;0;-104;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-95;-11;2147483647;2147483647;-2;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.84970448;18.51998088;266.8;19.5;78.9;800;6400;10000;10000;0;0
2;20240202135602;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;7;0;0;-104;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-95;-11;2147483647;2147483647;-2;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.84973704;18.520244;266.742;19.29;79.2;800;6400;10000;10000;0;0
3;20240202135607;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;7;0;0;-93;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-91;-9;2147483647;2147483647;2;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.84990249;18.5215316;267.559;18.93;78;800;6400;10000;10000;0;0
4;20240202135612;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;4;0;0;-95;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-98;-10;2147483647;2147483647;2;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2;2147483647;1;3;49.85011065;18.52281818;268.25;18.99;73.9;800;6400;10000;10000;0;0
5;20240202135617;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;3;0;0;-100;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-95;-10;2147483647;2147483647;3;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.85035375;18.52410564;269.374;19.48;72;800;6400;10000;10000;0;0
6;20240202135622;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;4;0;0;-97;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-92;-9;2147483647;2147483647;4;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.85066324;18.52541857;271.438;20.8;69.1;800;6400;10000;10000;0;0
7;20240202135627;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;3;0;0;-92;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-90;-9;2147483647;2147483647;10;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.85105765;18.52676658;274.159;21.72;62.2;800;6400;10000;10000;0;0
8;20240202135632;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;3;0;0;-87;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-79;-8;2147483647;2147483647;7;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.85149567;18.52805701;275.858;19.95;61.8;800;6400;10000;10000;0;0
9;20240202135637;READY;IN_SERVICE;NONE;Vodafone CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;1;0;0;-82;0;LTE;230;3;3;31014;961293;3755;13;23;2147483647;9223372036854775807;2147483647;2147483647;-68;-7;2147483647;2147483647;13;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.851922;18.52920866;275.617;18.16;59.2;800;6400;10000;10000;0;0
