report;sys_time;sim_state;service_state;nr_state;net_op_name;net_op_code;roaming;net_type;call_state;data_state;data_act;data_rx;data_tx;gsm_neighbors;umts_neighbors;lte_neighbors;nr_neighbors;cdma_neighbors;rssi_strongest;nstrong;tech;mcc;mnc;mnc_master;lac_tac_sid;long_cid;node_id_nid;cid_bid;psc_pci;nrtac;nrnci;nrpci;nrarfcn;rssi;rsrq;rssi_ev;ecio_ev;rssnr;nrssrsrp;nrssrsrq;nrsssinr;nrcsirsrp;nrcsirsrq;nrcsisinr;slev;ta;gps;accuracy;lat;long;altitude;speed;bearing;band;arfcn;bw;bwlist;thp_rx;thp_tx
0;20240209070642;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;3;0;0;-94;0;LTE;230;3;3;31014;961030;3754;6;27;2147483647;9223372036854775807;2147483647;2147483647;-111;-11;2147483647;2147483647;10;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;1;2147483647;1;3;49.83439416;18.471121;291.979;17.99;302.3;1800;1849;10000;10000;0;0
1;20240209070645;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;2;0;0;-103;0;LTE;230;3;3;31014;461069;1801;13;123;2147483647;9223372036854775807;2147483647;2147483647;-93;-7;2147483647;2147483647;8;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.83458474;18.47070786;291.718;18.73;308.3;800;6400;10000;10000;0;0
2;20240209070650;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;2;0;0;-101;0;LTE;230;3;3;31014;461069;1801;13;123;2147483647;9223372036854775807;2147483647;2147483647;-88;-6;2147483647;2147483647;14;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.83520753;18.46973947;292.288;20.2;319.6;800;6400;10000;10000;0;0
3;20240209070655;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;2;0;0;-101;0;LTE;230;3;3;31014;461069;1801;13;123;2147483647;9223372036854775807;2147483647;2147483647;-85;-6;2147483647;2147483647;17;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;4;2147483647;1;3;49.83592649;18.46885125;293.501;20.78;321.4;800;6400;10000;10000;0;0
4;20240209070700;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;2;0;0;-101;0;LTE;230;3;3;31014;461069;1801;13;123;2147483647;9223372036854775807;2147483647;2147483647;-92;-6;2147483647;2147483647;17;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.83667478;18.46794727;294.772;21.17;321.5;800;6400;10000;10000;0;0
5;20240209070705;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;2;0;0;-104;0;LTE;230;3;3;31014;461069;1801;13;123;2147483647;9223372036854775807;2147483647;2147483647;-90;-6;2147483647;2147483647;10;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.83742094;18.46702681;294.827;21.03;320.7;800;6400;10000;10000;0;0
6;20240209070710;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;3;0;0;-108;0;LTE;230;3;3;31014;461069;1801;13;123;2147483647;9223372036854775807;2147483647;2147483647;-95;-7;2147483647;2147483647;12;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.83810933;18.46599128;294.176;21.67;308.9;800;6400;10000;10000;0;0
7;20240209070715;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;3;0;0;-89;0;LTE;230;3;3;31014;461069;1801;13;123;2147483647;9223372036854775807;2147483647;2147483647;-95;-11;2147483647;2147483647;8;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;3;2147483647;1;3;49.8386142;18.46472276;292.463;21.53;294.7;800;6400;10000;10000;0;0
8;20240209070720;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;3;0;0;-93;0;LTE;230;3;3;31014;461069;1801;13;123;2147483647;9223372036854775807;2147483647;2147483647;-96;-15;2147483647;2147483647;0;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2;2147483647;1;3;49.83889768;18.4632568;289.886;22.98;279.6;800;6400;10000;10000;0;0
9;20240209070725;READY;IN_SERVICE;NONE;VODAFONE CZ;23003;0;LTE;IDLE;UNKNOWN;UNKNOWN;0;0;8;0;1;0;0;-97;0;LTE;230;3;3;31015;1270284;4962;12;130;2147483647;9223372036854775807;2147483647;2147483647;-100;-14;2147483647;2147483647;0;2147483647;2147483647;2147483647;2147483647;2147483647;2147483647;2;2147483647;1;3;49.83892547;18.46158841;285.1;24.89;266.4;800;6400;10000;10000;0;0
